"30.12.2022","KYA","KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,391936","134.924.000,00","0","52.881.521,34"
"30.12.2022","KZL","KT PORTFÖY KIZILAY'A DESTEK ALTIN KATILIM FONU","4,402864","495.693.695,00","0","2.182.471.679,79"
"30.12.2022","LFD","İŞ PORTFÖY AZİM SERBEST ÖZEL FON","2,594170","363.014.662,00","1","941.721.574,35"
"30.12.2022","LHM","AK PORTFÖY NETA SERBEST (DÖVİZ) ÖZEL FON","20,725639","7.497.152,00","1","155.383.267,76"
"30.12.2022","LHP","AK PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON","20,046217","140.732.618,00","1","2.821.156.617,97"
"30.12.2022","LZV","AZİMUT PORTFÖY İLA SERBEST ÖZEL FON","7,215937","60.844.641,00","0","439.051.087,79"
"30.12.2022","MAC","MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","0,293218","12.980.125.007,00","45.625","3.806.012.743,61"
"30.12.2022","MAD","MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON","0,407746","119.821.204,00","51","48.856.557,96"
"30.12.2022","MAS","MARMARA CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","4,409490","86.166.370,00","34","379.949.758,16"
"30.12.2022","MBL","MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON","0,081789","15.497.800,00","19","1.267.550,68"
"30.12.2022","MET","GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON","1,006617","65.615.014,00","2.183","66.049.209,43"
"30.12.2022","MJB","AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU","1,920877","58.640.915,00","559","112.641.963,76"
"30.12.2022","MJG","AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU","1,747478","31.873.999,00","1.281","55.699.102,45"
"30.12.2022","MJH","MÜKAFAT PORTFÖY FORTUNA SERBEST FON","2,240811","79.903.118,00","93","179.047.753,76"
"30.12.2022","MJK","MEKSA PORTFÖY KARDELEN SERBEST FON","10,288364","32.498.440,00","0","334.355.775,06"
"30.12.2022","MJL","MÜKAFAT PORTFOY AKTİF SERBEST (DÖVİZ-AVRO) FON","20,197518","11.073.967,00","160","223.666.644,70"
"30.12.2022","MKG","MÜKAFAT PORTFÖY ALTIN KATILIM FONU","2,831040","37.440.215,00","1.697","105.994.764,62"
"30.12.2022","MLS","MÜKAFAT PORTFÖY BİRİNCİ SERBEST FON","7,197607","105.000,00","2","755.748,68"
"30.12.2022","MMA","MAQASİD PYŞ ALTIN KATILIM FONU","0,000000","0,00","0","0,00"
"30.12.2022","MMH","MÜKAFAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,841707","16.299.795,00","648","78.918.835,79"
"30.12.2022","MPD","MÜKAFAT PORTFÖY AKTIF SERBEST (DÖVIZ) FON","20,574065","40.989.072,00","327","843.311.834,44"
"30.12.2022","MPF","MÜKAFAT PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM FONU","2,269072","66.501.200,04","572","150.895.998,56"
"30.12.2022","MPK","MÜKAFAT PORTFÖY KİRA SERTİFİKASI KATILIM FONU","2,562602","35.822.446,28","1.008","91.798.674,94"
"30.12.2022","MPN","MÜKAFAT PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON","17,868084","1.614.635,00","75","28.850.433,74"
"30.12.2022","MPP","MEKSA PORTFÖY PRİME SERBEST FON","10,929545","11.209.651,00","21","122.516.381,78"
"30.12.2022","MPS","MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","7,880614","17.136.856,32","2.794","135.048.950,77"
"30.12.2022","MSB","MAQASİD PYŞ BİRİNCİ KATILIM SERBEST(DÖVİZ)FON","0,000000","0,00","0","22,33"
"30.12.2022","MSH","MAQASİD PORTFÖY İKİNCİ  KATILIM SERBEST FON","0,000000","0,00","0","206,33"
"30.12.2022","MTV","AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON","1,160271","36.550.211,00","7.738","42.408.132,11"
"30.12.2022","MTX","TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON","0,971183","68.249.522,00","1.294","66.282.748,06"
"30.12.2022","MVK","MAQASİD PYŞ KISA VADELİ KATILIM SERBEST FON","0,000000","0,00","0","239,87"
"30.12.2022","NBH","NEO PORTFÖY İKİNCİ SERBEST FON","1,701602","2.827.813,00","42","4.811.812,40"
"30.12.2022","NBZ","NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","24,092805","9.080.918,00","49","218.784.789,02"
"30.12.2022","NHP","NEO PORTFÖY BİRİNCİ FON SEPETİ FONU","1,466796","4.561.061,00","58","6.690.144,41"
"30.12.2022","NHV","NUROL PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON","1,071772","198.308.996,00","0","212.541.932,02"
"30.12.2022","NHY","NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","1,690513","51.666.341,00","0","87.342.628,32"
"30.12.2022","NIG","KIG PORTFÖY SERBEST FON","1,156657","1.393.201,00","1","1.611.455,55"
"30.12.2022","NJF","NUROL PORTFÖY ALTIN FONU","2,046234","4.520.494,00","0","9.249.990,56"
"30.12.2022","NJG","NUROL PORTFÖY BİRİNCİ SERBEST FON","1,280328","33.233.641,00","0","42.549.961,94"
"30.12.2022","NJR","NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","1,304694","61.974.055,00","0","80.857.158,54"
"30.12.2022","NJY","NUROL PORTFÖY BİRİNCİ KATILIM FONU","1,794421","11.817.089,00","0","21.204.837,87"
"30.12.2022","NKJ","ATA PORTFÖY YEDİNCİ SERBEST FON","4,339478","9.271,00","0","40.231,30"
"30.12.2022","NKK","ATA PORTFÖY YÖNETİMİ A.Ş. SEKİZİNCİ SERBEST FON","2,159306","944.110,00","1","2.038.622,81"
"30.12.2022","NNF","HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","6,959853","398.703.057,00","15.287","2.774.914.554,39"
"30.12.2022","NRC","NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","3,325644","14.215.487,00","614","47.275.646,08"
"30.12.2022","NRG","NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU","1,261623","428.759.133,00","674","540.932.319,45"
"30.12.2022","NRM","NEO PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","18,639143","6.872.640,00","4","128.100.116,75"
"30.12.2022","NSK","NEO PORTFÖY BİRİNCİ SERBEST FON","1,543477","55.081.403,00","14","85.016.865,74"
"30.12.2022","NSS","NUROL PORTFÖY SONENBERG SERBEST (DÖVİZ) ÖZEL FON","18,698804","16.550.346,00","0","309.471.681,14"
"30.12.2022","NTB","AZİMUT PORTFÖY AVŞAR SERBEST ÖZEL FON","2,239785","155.947.882,00","0","349.289.733,06"
"30.12.2022","NTC","AZİMUT PORTFÖY RES SERBEST ÖZEL FON","4,341331","11.518.143,00","0","50.004.072,68"
"30.12.2022","NTF","NEO PORTFÖY TEK SERBEST (TL) FON","0,000000","0,00","0","0,00"
"30.12.2022","NTO","NUROL PORTFÖY TRADA SERBEST (DÖVİZ) ÖZEL FON","19,495821","11.805.702,00","0","230.161.847,72"
"30.12.2022","NVB","NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON","1,097365","347.884.639,00","0","381.756.275,38"
"30.12.2022","NVC","NEO PORTFÖY VENTO SERBEST FON","1,489286","212.354.762,00","0","316.256.869,50"
"30.12.2022","NVP","NUROL PORTFÖY İKİNCİ SERBEST (DÖVİZ) ÖZEL FON","18,742596","3.020.793,00","0","56.617.503,72"
"30.12.2022","NVT","NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","1,083476","69.183.628,00","0","74.958.827,12"
"30.12.2022","NVZ","NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON","0,000000","0,00","0","0,00"
"30.12.2022","NYH","NUROL PORTFÖY İAU SERBEST (DÖVİZ) ÖZEL FON","19,955400","10.000.000,00","0","199.554.002,50"
"30.12.2022","NZH","NEO PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","1,447787","20.942.416,00","245","30.320.166,72"
"30.12.2022","NZT","NEO PORTFÖY PY BORÇLANMA ARAÇLARI  ÖZEL FONU","1,413189","526.403,00","1","743.906,94"
"30.12.2022","OAB","QNB FİNANS PORTFÖY AYDOĞAN SERBEST (DÖVİZ) ÖZEL FON","20,429330","8.225.953,00","3","168.050.707,42"
"30.12.2022","OAC","QNB FİNANS PORTFÖY ONBEŞİNCİ SERBEST (DÖVİZ) FON","18,602840","4.480.000,00","66","83.340.722,56"
"30.12.2022","OAV","QNB FİNANS PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FONU","19,769367","57.410.000,00","450","1.134.959.363,74"
"30.12.2022","OBI","OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU","1,039419","16.831.810,00","0","17.495.295,05"
"30.12.2022","OBP","OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON","0,048717","112.621.249,00","0","5.486.534,67"
"30.12.2022","OCM","QNB FİNANS PORTFÖY SM SERBEST (DÖVİZ) ÖZEL FON","19,951256","9.115.196,00","2","181.859.609,28"
"30.12.2022","OCN","QNB FINANS PORTFÖY SEFA SERBEST (DÖVIZ) ÖZEL FON","19,278748","2.767.849,00","4","53.360.662,85"
"30.12.2022","OCT","QNB FİNANS PORTFÖY DENİZ YILDIZI SERBEST (DÖVİZ) ÖZEL FON","19,710696","5.668.344,00","4","111.727.007,55"
"30.12.2022","ODD","OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON","3,835648","141.630.777,00","6","543.245.789,96"
"30.12.2022","ODP","OSMANLI PORTFÖY BİRİNCİ SERBEST FON","1,199716","51.867.495,00","0","62.226.252,40"
